"sci_name","synonyms"
"""Malacoraja spinacidermis""","""Malacoraja spinacidermis"""
"""Megatrygon microps""","""Megatrygon microps"" OR ""Dasyatis microps"" OR ""Trygon microps"""
"""Mobula alfredi""","""Mobula alfredi"" OR ""Manta alfredi"" OR ""Ceratoptera alfredi"""
"""Mobula birostris""","""Mobula birostris"" OR ""Manta hamiltoni"" OR ""Manta birostris"" OR ""Raja birostris"""
"""Mobula eregoodoo""","""Mobula eregoodoo"" OR ""Mobula eregoodootenkee"" OR ""Dicerobatis eregoodoo"""
"""Mobula hypostoma""","""Mobula hypostoma"" OR ""Mobula rochebrunei"""
"""Mobula kuhlii""","""Mobula kuhlii"" OR ""Cephaloptera kuhlii"" OR ""Dicerobatis draco"""
"""Mobula mobular""","""Mobula mobular"" OR ""Raia mobular"" OR ""Mobula japanica"""
"""Mobula munkiana""","""Mobula munkiana"""
"""Mobula tarapacana""","""Mobula tarapacana"" OR ""Cephaloptera tarapacana"""
"""Mobula thurstoni""","""Mobula thurstoni"" OR ""Dicerobatis thurstoni"""
"""Myliobatis aquila""","""Myliobatis aquila"" OR ""Raja aquila"""
"""Myliobatis californicus""","""Myliobatis californicus"" OR ""Myliobatis californica"" OR ""Rhinoptera encenadae"" OR ""Rhinoptera vespertilio"""
"""Myliobatis chilensis""","""Myliobatis chilensis"""
"""Myliobatis freminvillei""","""Myliobatis freminvillei"" OR ""Myliobatis freminvillii"""
"""Myliobatis goodei""","""Myliobatis goodei"""
"""Myliobatis hamlyni""","""Myliobatis hamlyni"""
"""Myliobatis longirostris""","""Myliobatis longirostris"""
"""Myliobatis peruvianus""","""Myliobatis peruvianus"""
"""Myliobatis ridens""","""Myliobatis ridens"""
"""Myliobatis tenuicaudatus""","""Myliobatis tenuicaudatus"" OR ""Myliobatis australis"""
"""Myliobatis tobijei""","""Myliobatis tobijei"" OR ""Myliobatis cornuta"""
"""Narcine atzi""","""Narcine atzi"""
"""Narcine baliensis""","""Narcine baliensis"""
"""Narcine bancroftii""","""Narcine bancroftii"" OR ""Torpedo bancroftii"""
"""Narcine brasiliensis""","""Narcine brasiliensis"" OR ""Torpedo brasiliensis"""
"""Narcine brevilabiata""","""Narcine brevilabiata"""
"""Narcine entemedor""","""Narcine entemedor"""
"""Narcine insolita""","""Narcine insolita"""
"""Narcine leoparda""","""Narcine leoparda"""
"""Narcine lingula""","""Narcine lingula"""
"""Narcine maculata""","""Narcine maculata"" OR ""Raja maculata"""
"""Narcine oculifera""","""Narcine oculifera"""
"""Narcine prodorsalis""","""Narcine prodorsalis"""
"""Narcine rierai""","""Narcine rierai"" OR ""Heteronarce rierai"""
"""Narcine timlei""","""Narcine timlei"" OR ""Narcine indica"" OR ""Raja timlei"""
"""Narcine vermiculata""","""Narcine vermiculata"" OR ""Narcine schmidti"" OR ""Narcine vermiculatus"""
"""Narcinops lasti""","""Narcinops lasti"" OR ""Narcine lasti"""
"""Narcinops nelsoni""","""Narcinops nelsoni"" OR ""Narcine nelsoni"""
"""Narcinops ornata""","""Narcinops ornata"" OR ""Narcine ornata"""
"""Narcinops tasmaniensis""","""Narcinops tasmaniensis"" OR ""Narcine tasmaniensis"""
"""Narcinops westraliensis""","""Narcinops westraliensis"" OR ""Narcine westraliensis"""
"""Narke capensis""","""Narke capensis"" OR ""Raja capensis"""
"""Narke dipterygia""","""Narke dipterygia"" OR ""Raja dipterygia"" OR ""Bengalichthys impennis"""
"""Narke japonica""","""Narke japonica"" OR ""Torpedo japonica"" OR ""Crassinarke dormitor"""
"""Neoraja africana""","""Neoraja africana"" OR ""Breviraja africana"""
"""Neoraja caerulea""","""Neoraja caerulea"" OR ""Breviraja caerulea"""
"""Neoraja carolinensis""","""Neoraja carolinensis"""
"""Neoraja iberica""","""Neoraja iberica"""
"""Neoraja stehmanni""","""Neoraja stehmanni"" OR ""Breviraja stehmanni"""
"""Neotrygon annotata""","""Neotrygon annotata"" OR ""Dasyatis annotata"" OR ""Dasyatis annotatus"""
"""Neotrygon australiae""","""Neotrygon australiae"""
"""Neotrygon caeruleopunctata""","""Neotrygon caeruleopunctata"""
"""Neotrygon kuhlii""","""Neotrygon kuhlii"" OR ""Amphotistius kuhlii"" OR ""Dasyatis kuhlii"" OR ""Trygon kuhlii"""
"""Neotrygon leylandi""","""Neotrygon leylandi"" OR ""Dasyatis leylandi"""
"""Neotrygon ningalooensis""","""Neotrygon ningalooensis"""
"""Neotrygon orientalis""","""Neotrygon orientalis"" OR ""Neotrygon orientale"""
"""Neotrygon picta""","""Neotrygon picta"""
"""Neotrygon trigonoides""","""Neotrygon trigonoides"" OR ""Raya trigonoides"""
"""Neotrygon varidens""","""Neotrygon varidens"" OR ""Dasybatus varidens"""
"""Notoraja alisae""","""Notoraja alisae"""
"""Notoraja azurea""","""Notoraja azurea"""
"""Notoraja fijiensis""","""Notoraja fijiensis"""
"""Notoraja hesperindica""","""Notoraja hesperindica"""
"""Notoraja hirticauda""","""Notoraja hirticauda"""
"""Notoraja inusitata""","""Notoraja inusitata"""
"""Notoraja lira""","""Notoraja lira"""
"""Notoraja longiventralis""","""Notoraja longiventralis"""
"""Notoraja martinezi""","""Notoraja martinezi"""
"""Notoraja ochroderma""","""Notoraja ochroderma"""
"""Notoraja sapphira""","""Notoraja sapphira"""
"""Notoraja sereti""","""Notoraja sereti"""
"""Notoraja sticta""","""Notoraja sticta"""
"""Notoraja tobitukai""","""Notoraja tobitukai"" OR ""Raja tobitukai"""
"""Okamejei acutispina""","""Okamejei acutispina"" OR ""Raja acutispina"""
"""Okamejei arafurensis""","""Okamejei arafurensis"""
"""Okamejei boesemani""","""Okamejei boesemani"" OR ""Raja boesemani"""
"""Okamejei cairae""","""Okamejei cairae"""
"""Okamejei heemstrai""","""Okamejei heemstrai"" OR ""Raja heemstrai"""
"""Okamejei hollandi""","""Okamejei hollandi"" OR ""Raja hollandi"""
"""Okamejei kenojei""","""Okamejei kenojei"" OR ""Raja kenojei"""
"""Okamejei leptoura""","""Okamejei leptoura"""
"""Okamejei meerdervoortii""","""Okamejei meerdervoortii"" OR ""Raja meerdervoortii"""
"""Okamejei mengae""","""Okamejei mengae"""
"""Okamejei ornata""","""Okamejei ornata"""
"""Okamejei panayensis""","""Okamejei panayensis"""
"""Okamejei picta""","""Okamejei picta"""
"""Okamejei schmidti""","""Okamejei schmidti"" OR ""Raja schmidti"""
"""Orbiraja jensenae""","""Orbiraja jensenae"" OR ""Okamejei jensenae"""
"""Orbiraja philipi""","""Orbiraja philipi"" OR ""Raia philipi"" OR ""Okamejei powelli"" OR ""Okamejei philipi"""
"""Orbiraja powelli""","""Orbiraja powelli"" OR ""Okamejei powelli"" OR ""Raja powelli"""
"""Paratrygon aiereba""","""Paratrygon aiereba"" OR ""Paratrygon ajereba"" OR ""Trygon ajereba"" OR ""Raja orbicularis"""
"""Pastinachus ater""","""Pastinachus ater"" OR ""Pastinachus atrus"" OR ""Pastinachus sephen"" OR ""Taeniura atra"""
"""Pastinachus gracilicaudus""","""Pastinachus gracilicaudus"""
"""Pastinachus sephen""","""Pastinachus sephen"" OR ""Dasyatis sephen"" OR ""Hypolophus sephen"" OR ""Raja sephen"" OR ""Himantura fluviatilis"""
"""Pastinachus solocirostris""","""Pastinachus solocirostris"""
"""Pastinachus stellurostris""","""Pastinachus stellurostris"""
"""Pateobatis bleekeri""","""Pateobatis bleekeri"" OR ""Himantura bleekeri"" OR ""Trygon bleekeri"""
"""Pateobatis fai""","""Pateobatis fai"" OR ""Himantura fai"""
"""Pateobatis hortlei""","""Pateobatis hortlei"" OR ""Himantura hortlei"""
"""Pateobatis jenkinsii""","""Pateobatis jenkinsii"" OR ""Himantura draco"" OR ""Himantura jenkinsii"" OR ""Trygon jenkinsii"""
"""Pateobatis uarnacoides""","""Pateobatis uarnacoides"" OR ""Himantura uarnacoides"" OR ""Trygon uarnacoides"""
"""Pavoraja alleni""","""Pavoraja alleni"""
"""Pavoraja arenaria""","""Pavoraja arenaria"""
"""Pavoraja mosaica""","""Pavoraja mosaica"""
"""Pavoraja nitida""","""Pavoraja nitida"""
"""Pavoraja pseudonitida""","""Pavoraja pseudonitida"""
"""Pavoraja umbrosa""","""Pavoraja umbrosa"""
"""Platyrhina hyugaensis""","""Platyrhina hyugaensis"""
"""Platyrhina psomadakisi""","""Platyrhina psomadakisi"""
"""Platyrhina sinensis""","""Platyrhina sinensis"" OR ""Rhina sinensis"" OR ""Platyrhina limboonkengi"""
"""Platyrhina tangi""","""Platyrhina tangi"""
"""Platyrhinoidis triseriata""","""Platyrhinoidis triseriata"" OR ""Platyrhina triseriata"""
"""Plesiobatis daviesi""","""Plesiobatis daviesi"" OR ""Urolophus marmoratus"""
"""Plesiotrygon iwamae""","""Plesiotrygon iwamae"""
"""Plesiotrygon nana""","""Plesiotrygon nana"""
"""Pliotrema annae""","""Pliotrema annae"""
"""Pliotrema kajae""","""Pliotrema kajae"""
"""Pliotrema warreni""","""Pliotrema warreni"""
"""Potamotrygon adamastor""","""Potamotrygon adamastor"""
"""Potamotrygon amandae""","""Potamotrygon amandae"""
"""Potamotrygon amazona""","""Potamotrygon amazona"""
"""Potamotrygon boesemani""","""Potamotrygon boesemani"""
"""Potamotrygon brachyura""","""Potamotrygon brachyura"" OR ""Trygon brachyurus"" OR ""Potamotrygon brumi"""
"""Potamotrygon castexi""","""Potamotrygon castexi"""
"""Potamotrygon constellata""","""Potamotrygon constellata"" OR ""Taeniura constellata"""
"""Potamotrygon falkneri""","""Potamotrygon falkneri"" OR ""Potamotrygon menchacai"" OR ""Potamotrygon castexi"""
"""Potamotrygon henlei""","""Potamotrygon henlei"" OR ""Trygon henlei"" OR ""Taenura henlei"""
"""Potamotrygon histrix""","""Potamotrygon histrix"" OR ""Trygon hystrix"""
"""Potamotrygon humerosa""","""Potamotrygon humerosa"" OR ""Potamotrygon orbignyi"""
"""Potamotrygon leopoldi""","""Potamotrygon leopoldi"""
"""Potamotrygon limai""","""Potamotrygon limai"""
"""Potamotrygon magdalenae""","""Potamotrygon magdalenae"" OR ""Trygon hystrix"" OR ""Taeniura magdalenae"""
"""Potamotrygon marinae""","""Potamotrygon marinae"""
"""Potamotrygon motoro""","""Potamotrygon motoro"" OR ""Potamotrygon pauckei"" OR ""Taeniura motoro"" OR ""Potamotrygon alba"" OR ""Trygon garrapa"" OR ""Potamotrygon labradori"" OR ""Potamotrygon laticeps"""
"""Potamotrygon ocellata""","""Potamotrygon ocellata"" OR ""Trygon ocellata"""
"""Potamotrygon orbignyi""","""Potamotrygon orbignyi"" OR ""Potamotrygon dumerilii"" OR ""Trygon orbignyi"" OR ""Potamotrygon reticulatus"" OR ""Potamotrygon roulini"""
"""Potamotrygon rex""","""Potamotrygon rex"""
"""Potamotrygon schroederi""","""Potamotrygon schroederi"""
"""Potamotrygon schuemacheri""","""Potamotrygon schuemacheri"""
"""Potamotrygon scobina""","""Potamotrygon scobina"""
"""Potamotrygon signata""","""Potamotrygon signata"""
"""Potamotrygon tigrina""","""Potamotrygon tigrina"""
"""Potamotrygon yepezi""","""Potamotrygon yepezi"""
"""Pristiophorus cirratus""","""Pristiophorus cirratus"" OR ""Pristis cirratus"""
"""Pristiophorus delicatus""","""Pristiophorus delicatus"""
"""Pristiophorus japonicus""","""Pristiophorus japonicus"""
"""Pristiophorus lanae""","""Pristiophorus lanae"""
"""Pristiophorus nancyae""","""Pristiophorus nancyae"""
"""Pristiophorus nudipinnis""","""Pristiophorus nudipinnis"""
"""Pristiophorus schroederi""","""Pristiophorus schroederi"""
"""Pristis clavata""","""Pristis clavata"""
"""Pristis pectinata""","""Pristis pectinata"" OR ""Pristis acutirostris"" OR ""Pristis annandalei"" OR ""Pristis granulosa"" OR ""Pristis mississippiensis"" OR ""Pristis serra"""
"""Pristis pristis""","""Pristis pristis"" OR ""Pristis zephyreus"" OR ""Pristis perotteti"" OR ""Pristis microdon"" OR ""Squalus pristis"""
"""Pristis zijsron""","""Pristis zijsron"""
"""Psammobatis bergi""","""Psammobatis bergi"""
"""Psammobatis extenta""","""Psammobatis extenta"" OR ""Psammobatis glansdissimilis"" OR ""Raia extenta"""
"""Psammobatis lentiginosa""","""Psammobatis lentiginosa"""
"""Psammobatis normani""","""Psammobatis normani"" OR ""Psammobatis parvacauda"""
"""Psammobatis rudis""","""Psammobatis rudis"""
"""Psammobatis rutrum""","""Psammobatis rutrum"" OR ""Malacorhina cirrifer"""
"""Psammobatis scobina""","""Psammobatis scobina"" OR ""Raja scobina"""
"""Pseudobatos buthi""","""Pseudobatos buthi"""
"""Pseudobatos glaucostigmus""","""Pseudobatos glaucostigmus"" OR ""Rhinobatos glaucostigma"""
"""Pseudobatos horkelii""","""Pseudobatos horkelii"" OR ""Rhinobatos horkeli"" OR ""Rhinobatos horkelii"""
"""Pseudobatos lentiginosus""","""Pseudobatos lentiginosus"" OR ""Rhinobatos lentiginosus"""
"""Pseudobatos leucorhynchus""","""Pseudobatos leucorhynchus"" OR ""Rhinobatos leucorhynchus"" OR ""Rhinobatos leucorhinchus"""
"""Pseudobatos percellens""","""Pseudobatos percellens"" OR ""Rhinobatos percellens"" OR ""Raja percellens"""
"""Pseudobatos planiceps""","""Pseudobatos planiceps"" OR ""Rhinobatos planiceps"""
"""Pseudobatos prahli""","""Pseudobatos prahli"" OR ""Rhinobatos prahli"""
"""Pseudobatos productus""","""Pseudobatos productus"" OR ""Rhinobatos productus"""
"""Pseudoraja fischeri""","""Pseudoraja fischeri"""
"""Pteroplatytrygon violacea""","""Pteroplatytrygon violacea"" OR ""Dasyatis violacea"" OR ""Trygon violacea"""
"""Raja asterias""","""Raja asterias"""
"""Raja brachyura""","""Raja brachyura"" OR ""Raia brachyura"""
"""Raja clavata""","""Raja clavata"" OR ""Malacoraja clavata"""
"""Raja herwigi""","""Raja herwigi"""
"""Raja maderensis""","""Raja maderensis"" OR ""Raia maderensis"""
"""Raja microocellata""","""Raja microocellata"" OR ""Raia microocellata"""
"""Raja miraletus""","""Raja miraletus"""
"""Raja montagui""","""Raja montagui"""
"""Raja ocellifera""","""Raja ocellifera"""
"""Raja parva""","""Raja parva"""
"""Raja pita""","""Raja pita"" OR ""Okamejei pita"""
"""Raja polystigma""","""Raja polystigma"""
"""Raja radula""","""Raja radula"""
"""Raja straeleni""","""Raja straeleni"" OR ""Raja rouxi"""
"""Raja undulata""","""Raja undulata"" OR ""Raja fenestrata"" OR ""Raja atra"" OR ""Raja mosaica"" OR ""Raja picta"""
"""Rajella annandalei""","""Rajella annandalei"" OR ""Raja annandalei"""
"""Rajella barnardi""","""Rajella barnardi"" OR ""Raja confundens"" OR ""Raja dageti"" OR ""Raja barnardi"""
"""Rajella bathyphila""","""Rajella bathyphila"" OR ""Raja bathyphila"""
"""Rajella bigelowi""","""Rajella bigelowi"" OR ""Raja bigelowi"""
"""Rajella caudaspinosa""","""Rajella caudaspinosa"" OR ""Raia caudaspinosa"""
"""Rajella challengeri""","""Rajella challengeri"""
"""Rajella dissimilis""","""Rajella dissimilis"""
"""Rajella eisenhardti""","""Rajella eisenhardti"""
"""Rajella fuliginea""","""Rajella fuliginea"" OR ""Raja fuliginea"""
"""Rajella fyllae""","""Rajella fyllae"" OR ""Breviraja marklei"" OR ""Breviraja mouldi"" OR ""Raja fyllae"""
"""Rajella kukujevi""","""Rajella kukujevi"" OR ""Raja kukujevi"""
"""Rajella leoparda""","""Rajella leoparda"" OR ""Rajella leopardus"" OR ""Raia leopardus"""
"""Rajella lintea""","""Rajella lintea"" OR ""Dipturus linteus"" OR ""Raja lintea"""
"""Rajella nigerrima""","""Rajella nigerrima"" OR ""Malacoraja nigerrima"" OR ""Breviraja nigerrima"""
"""Rajella paucispinosa""","""Rajella paucispinosa"""
"""Rajella purpuriventralis""","""Rajella purpuriventralis"" OR ""Raja purpuriventralis"""
"""Rajella ravidula""","""Rajella ravidula"" OR ""Raja ravidula"""
"""Rajella sadowskii""","""Rajella sadowskii"" OR ""Raja sadowskii"""
"""Rhina ancylostomus""","""Rhina ancylostomus"" OR ""Rhina ancylostoma"""
"""Rhinobatos albomaculatus""","""Rhinobatos albomaculatus"""
"""Rhinobatos annandalei""","""Rhinobatos annandalei"""
"""Rhinobatos austini""","""Rhinobatos austini"""
"""Rhinobatos borneensis""","""Rhinobatos borneensis"""
"""Rhinobatos holcorhynchus""","""Rhinobatos holcorhynchus"""
"""Rhinobatos hynnicephalus""","""Rhinobatos hynnicephalus"""
"""Rhinobatos irvinei""","""Rhinobatos irvinei"""
"""Rhinobatos jimbaranensis""","""Rhinobatos jimbaranensis"""
"""Rhinobatos lionotus""","""Rhinobatos lionotus"""
"""Rhinobatos manai""","""Rhinobatos manai"""
"""Rhinobatos nudidorsalis""","""Rhinobatos nudidorsalis"""
"""Rhinobatos penggali""","""Rhinobatos penggali"""
"""Rhinobatos punctifer""","""Rhinobatos punctifer"""
"""Rhinobatos ranongensis""","""Rhinobatos ranongensis"""
"""Rhinobatos rhinobatos""","""Rhinobatos rhinobatos"" OR ""Raja rhinobatos"""
"""Rhinobatos sainsburyi""","""Rhinobatos sainsburyi"""
"""Rhinobatos schlegelii""","""Rhinobatos schlegelii"" OR ""Rhinobatos formosensis"""
"""Rhinobatos whitei""","""Rhinobatos whitei"""
"""Rhinoptera bonasus""","""Rhinoptera bonasus"" OR ""Raja bonasus"""
"""Rhinoptera brasiliensis""","""Rhinoptera brasiliensis"""
"""Rhinoptera javanica""","""Rhinoptera javanica"""
"""Rhinoptera jayakari""","""Rhinoptera jayakari"""
"""Rhinoptera marginata""","""Rhinoptera marginata"" OR ""Myliobatis marginata"""
"""Rhinoptera neglecta""","""Rhinoptera neglecta"""
"""Rhinoptera steindachneri""","""Rhinoptera steindachneri"""
"""Rhinoraja kujiensis""","""Rhinoraja kujiensis"" OR ""Bathyraja kujiensis"""
"""Rhinoraja longicauda""","""Rhinoraja longicauda"" OR ""Bathyraja longicauda"""
"""Rhinoraja odai""","""Rhinoraja odai"" OR ""Bathyraja odai"""
"""Rhynchobatus australiae""","""Rhynchobatus australiae"" OR ""Rhynchobatus djiddensis"""
"""Rhynchobatus cooki""","""Rhynchobatus cooki"""
"""Rhynchobatus djiddensis""","""Rhynchobatus djiddensis"" OR ""Raja djiddensis"""
"""Rhynchobatus immaculatus""","""Rhynchobatus immaculatus"""
"""Rhynchobatus laevis""","""Rhynchobatus laevis"" OR ""Rhinobatus laevis"""
"""Rhynchobatus luebberti""","""Rhynchobatus luebberti"" OR ""Rhynchobatus atlanticus"""
"""Rhynchobatus mononoke""","""Rhynchobatus mononoke"""
"""Rhynchobatus palpebratus""","""Rhynchobatus palpebratus"""
"""Rhynchobatus springeri""","""Rhynchobatus springeri"""
"""Rhynchorhina mauritaniensis""","""Rhynchorhina mauritaniensis"""
"""Rioraja agassizii""","""Rioraja agassizii"" OR ""Uraptera agassizii"""
"""Rostroraja ackleyi""","""Rostroraja ackleyi"" OR ""Raja ackleyi"""
"""Rostroraja alba""","""Rostroraja alba"" OR ""Raja marginata"" OR ""Raja alba"""
"""Rostroraja bahamensis""","""Rostroraja bahamensis"" OR ""Raja bahamensis"""
"""Rostroraja cervigoni""","""Rostroraja cervigoni"" OR ""Raja cervigoni"""
"""Rostroraja eglanteria""","""Rostroraja eglanteria"" OR ""Raja eglanteria"""
"""Rostroraja equatorialis""","""Rostroraja equatorialis"" OR ""Raja equatorialis"""
"""Rostroraja texana""","""Rostroraja texana"" OR ""Raja texana"""
"""Rostroraja velezi""","""Rostroraja velezi"" OR ""Raja velezi"""
"""Schroederobatis americana""","""Schroederobatis americana"" OR ""Anacanthobatis americanus"""
"""Sinobatis andamanensis""","""Sinobatis andamanensis"""
"""Sinobatis borneensis""","""Sinobatis borneensis"" OR ""Anacanthobatis borneensis"" OR ""Anacanthobatis donghaiensis"" OR ""Anacanthobatis nanhaiensis"""
"""Sinobatis brevicauda""","""Sinobatis brevicauda"""
"""Sinobatis bulbicauda""","""Sinobatis bulbicauda"""
"""Sinobatis caerulea""","""Sinobatis caerulea"""
"""Sinobatis filicauda""","""Sinobatis filicauda"""
"""Sinobatis kotlyari""","""Sinobatis kotlyari"""
"""Sinobatis melanosoma""","""Sinobatis melanosoma"" OR ""Anacanthobatis melanosoma"" OR ""Springeria melanosoma"""
"""Sinobatis stenosoma""","""Sinobatis stenosoma"" OR ""Anacanthobatis stenosoma"" OR ""Springeria stenosoma"""
"""Spinilophus armatus""","""Spinilophus armatus"" OR ""Urolophus armatus"""
"""Spiniraja whitleyi""","""Spiniraja whitleyi"" OR ""Dipturus whitleyi"" OR ""Raja whitleyi"""
"""Springeria folirostris""","""Springeria folirostris"" OR ""Anacanthobatis folirostris"""
"""Springeria longirostris""","""Springeria longirostris"" OR ""Anacanthobatis longirostris"""
"""Styracura pacifica""","""Styracura pacifica"" OR ""Dasyatis pacificus"" OR ""Himantura pacifica"""
"""Styracura schmardae""","""Styracura schmardae"" OR ""Trygon schmardae"" OR ""Himantura schmardae"""
"""Sympterygia acuta""","""Sympterygia acuta"" OR ""Raja echinorhyncha"""
"""Sympterygia bonapartii""","""Sympterygia bonapartii"" OR ""Sympterygia bonapartei"" OR ""Raia marplatensis"""
"""Sympterygia brevicaudata""","""Sympterygia brevicaudata"" OR ""Psammobatis brevicaudatus"" OR ""Psammobatis asper"" OR ""Psammobatis caudispina"" OR ""Psammobatis chilcae"""
"""Sympterygia lima""","""Sympterygia lima"" OR ""Raja lima"" OR ""Raja acanthostyla"" OR ""Raja buergeri"" OR ""Raja chilensis"" OR ""Raja steindachneri"" OR ""Raja steindachneri"""
"""Taeniura lessoni""","""Taeniura lessoni"""
"""Taeniura lymma""","""Taeniura lymma"" OR ""Raja lymma"""
"""Taeniurops grabatus""","""Taeniurops grabatus"" OR ""Trygon grabatus"" OR ""Taeniura grabata"" OR ""Taeniurops grabata"""
"""Taeniurops meyeni""","""Taeniurops meyeni"" OR ""Taeniura melanospilos"" OR ""Taeniura meyeni"""
"""Telatrygon acutirostra""","""Telatrygon acutirostra"" OR ""Dasyatis acutirostra"""
"""Telatrygon biasa""","""Telatrygon biasa"""
"""Telatrygon crozieri""","""Telatrygon crozieri"" OR ""Trygon crozieri"""
"""Telatrygon zugei""","""Telatrygon zugei"" OR ""Dasyatis zugei"" OR ""Trygon zugei"""
"""Temera hardwickii""","""Temera hardwickii"""
"""Tetronarce californica""","""Tetronarce californica"" OR ""Torpedo californica"""
"""Tetronarce cowleyi""","""Tetronarce cowleyi"""
"""Tetronarce formosa""","""Tetronarce formosa"" OR ""Torpedo formosa"""
"""Tetronarce nobiliana""","""Tetronarce nobiliana"" OR ""Tetronarce fairchildi"" OR ""Tetronarce macneilli"" OR ""Torpedo nobiliana"""
"""Tetronarce occidentalis""","""Tetronarce occidentalis"" OR ""Torpedo occidentalis"""
"""Tetronarce puelcha""","""Tetronarce puelcha"" OR ""Torpedo puelcha"""
"""Tetronarce tokionis""","""Tetronarce tokionis"" OR ""Torpedo tokionis"" OR ""Tetronarcine tokionis"""
"""Tetronarce tremens""","""Tetronarce tremens"" OR ""Torpedo tremens"" OR ""Torpedo peruana"" OR ""Torpedo microdiscus"""
"""Torpedo adenensis""","""Torpedo adenensis"""
"""Torpedo andersoni""","""Torpedo andersoni"""
"""Torpedo bauchotae""","""Torpedo bauchotae"""
"""Torpedo fuscomaculata""","""Torpedo fuscomaculata"""
"""Torpedo mackayana""","""Torpedo mackayana"""
"""Torpedo marmorata""","""Torpedo marmorata"""
"""Torpedo panthera""","""Torpedo panthera"""
"""Torpedo sinuspersici""","""Torpedo sinuspersici"""
"""Torpedo suessii""","""Torpedo suessii"""
"""Torpedo torpedo""","""Torpedo torpedo"" OR ""Torpedo ocellata"" OR ""Raja torpedo"""
"""Trygonoptera galba""","""Trygonoptera galba"""
"""Trygonoptera imitata""","""Trygonoptera imitata"""
"""Trygonoptera mucosa""","""Trygonoptera mucosa"""
"""Trygonoptera ovalis""","""Trygonoptera ovalis"""
"""Trygonoptera personata""","""Trygonoptera personata"""
"""Trygonoptera testacea""","""Trygonoptera testacea"""
"""Trygonorrhina dumerilii""","""Trygonorrhina dumerilii"" OR ""Trygonorrhina melaleuca"""
"""Trygonorrhina fasciata""","""Trygonorrhina fasciata"" OR ""Trygonorrhina spA"""
"""Typhlonarke aysoni""","""Typhlonarke aysoni"" OR ""Typhlonarke tarakea"" OR ""Astrape aysoni"""
"""Urobatis concentricus""","""Urobatis concentricus"""
"""Urobatis halleri""","""Urobatis halleri"" OR ""Urolophus halleri"""
"""Urobatis jamaicensis""","""Urobatis jamaicensis"" OR ""Urolophus jamaicensis"""
"""Urobatis maculatus""","""Urobatis maculatus"""
"""Urobatis marmoratus""","""Urobatis marmoratus"" OR ""Urolophus marmoratus"""
"""Urobatis pardalis""","""Urobatis pardalis"""
"""Urobatis tumbesensis""","""Urobatis tumbesensis"" OR ""Urolophus tumbesensis"""
"""Urogymnus acanthobothrium""","""Urogymnus acanthobothrium"""
"""Urogymnus asperrimus""","""Urogymnus asperrimus"" OR ""Raja asperrima"""
"""Urogymnus dalyensis""","""Urogymnus dalyensis"" OR ""Himantura dalyensis"""
"""Urogymnus granulatus""","""Urogymnus granulatus"" OR ""Himantura ponapensis"" OR ""Himantura granulata"" OR ""Trygon granulata"""
"""Urogymnus lobistoma""","""Urogymnus lobistoma"" OR ""Himantura lobistoma"" OR ""Urogymnus lobistomus"""
"""Urogymnus polylepis""","""Urogymnus polylepis"" OR ""Himantura chaophraya"" OR ""Himantura polylepis"" OR ""Trygon polylepis"" OR ""Urogymnus laevior"""
"""Urolophus aurantiacus""","""Urolophus aurantiacus"""
"""Urolophus bucculentus""","""Urolophus bucculentus"""
"""Urolophus circularis""","""Urolophus circularis"""
"""Urolophus cruciatus""","""Urolophus cruciatus"" OR ""Raja cruciata"""
"""Urolophus deforgesi""","""Urolophus deforgesi"""
"""Urolophus expansus""","""Urolophus expansus"""
"""Urolophus flavomosaicus""","""Urolophus flavomosaicus"""
"""Urolophus gigas""","""Urolophus gigas"""
"""Urolophus javanicus""","""Urolophus javanicus"" OR ""Trygonoptera javanica"""
"""Urolophus kaianus""","""Urolophus kaianus"""
"""Urolophus kapalensis""","""Urolophus kapalensis"""
"""Urolophus lobatus""","""Urolophus lobatus"""
"""Urolophus mitosis""","""Urolophus mitosis"""
"""Urolophus neocaledoniensis""","""Urolophus neocaledoniensis"""
"""Urolophus orarius""","""Urolophus orarius"""
"""Urolophus papilio""","""Urolophus papilio"""
"""Urolophus paucimaculatus""","""Urolophus paucimaculatus"""
"""Urolophus piperatus""","""Urolophus piperatus"""
"""Urolophus sufflavus""","""Urolophus sufflavus"""
"""Urolophus viridis""","""Urolophus viridis"""
"""Urolophus westraliensis""","""Urolophus westraliensis"""
"""Urotrygon aspidura""","""Urotrygon aspidura"" OR ""Urolophus aspidurus"""
"""Urotrygon chilensis""","""Urotrygon chilensis"" OR ""Urolophus chilensis"" OR ""Urolophus goodei"""
"""Urotrygon cimar""","""Urotrygon cimar"""
"""Urotrygon microphthalmum""","""Urotrygon microphthalmum"""
"""Urotrygon munda""","""Urotrygon munda"""
"""Urotrygon nana""","""Urotrygon nana"""
"""Urotrygon reticulata""","""Urotrygon reticulata"""
"""Urotrygon rogersi""","""Urotrygon rogersi"" OR ""Urolophus rogersi"""
"""Urotrygon simulatrix""","""Urotrygon simulatrix"""
"""Urotrygon venezuelae""","""Urotrygon venezuelae"""
"""Zanobatus maculatus""","""Zanobatus maculatus"""
"""Zanobatus schoenleinii""","""Zanobatus schoenleinii"" OR ""Platyrhina schoenleinii"""
"""Zapteryx brevirostris""","""Zapteryx brevirostris"" OR ""Rhinobatus brevirostris"""
"""Zapteryx exasperata""","""Zapteryx exasperata"" OR ""Platyrhina exasperata"""
