"sci_name","synonyms"
"""Bathyraja matsubarai""","""Bathyraja matsubarai"" OR ""Bathyraja notoroensis"" OR ""Bathyraja caeluronigricans"" OR ""Breviraja matsubarai"""
"""Bathyraja meridionalis""","""Bathyraja meridionalis"""
"""Bathyraja microtrachys""","""Bathyraja microtrachys"""
"""Bathyraja minispinosa""","""Bathyraja minispinosa"""
"""Bathyraja multispinis""","""Bathyraja multispinis"" OR ""Raja multispinis"" OR ""Rhinoraja multispinis"""
"""Bathyraja murrayi""","""Bathyraja murrayi"" OR ""Raja murrati"" OR ""Rhinoraja murrayi"""
"""Bathyraja pacifica""","""Bathyraja pacifica"""
"""Bathyraja pallida""","""Bathyraja pallida"" OR ""Breviraja pallida"""
"""Bathyraja panthera""","""Bathyraja panthera"""
"""Bathyraja papilionifera""","""Bathyraja papilionifera"" OR ""Bathyraja papilonifera"""
"""Bathyraja parmifera""","""Bathyraja parmifera"" OR ""Arctoraja parmifera"" OR ""Raia parmifera"""
"""Bathyraja peruana""","""Bathyraja peruana"""
"""Bathyraja richardsoni""","""Bathyraja richardsoni"" OR ""Raja richardsoni"""
"""Bathyraja scaphiops""","""Bathyraja scaphiops"" OR ""Raja scaphiops"""
"""Bathyraja schroederi""","""Bathyraja schroederi"" OR ""Breviraja schroederi"""
"""Bathyraja shuntovi""","""Bathyraja shuntovi"""
"""Bathyraja smirnovi""","""Bathyraja smirnovi"" OR ""Raja smirnovi"""
"""Bathyraja smithii""","""Bathyraja smithii"" OR ""Raja smithii"""
"""Bathyraja spinicauda""","""Bathyraja spinicauda"" OR ""Raja spinicauda"""
"""Bathyraja spinosissima""","""Bathyraja spinosissima"" OR ""Psammobatis spinosissima"""
"""Bathyraja taranetzi""","""Bathyraja taranetzi"" OR ""Bathyraja hubbsi"" OR ""Rhinoraja longi"" OR ""Rhinoraja taranetzi"""
"""Bathyraja trachouros""","""Bathyraja trachouros"" OR ""Breviraja trachouros"""
"""Bathyraja trachura""","""Bathyraja trachura"" OR ""Raja microtrachys"" OR ""Raja trachura"""
"""Bathyraja tunae""","""Bathyraja tunae"""
"""Bathyraja tzinovskii""","""Bathyraja tzinovskii"""
"""Bathyraja violacea""","""Bathyraja violacea"" OR ""Raja violacea"""
"""Bathytoshia brevicaudata""","""Bathytoshia brevicaudata"" OR ""Dasyatis matsubarai"" OR ""Dasyatis brevicaudata"" OR ""Dasyatis multispinosa"" OR ""Trygon brevicaudata"""
"""Bathytoshia centroura""","""Bathytoshia centroura"" OR ""Dasyatis centroura"" OR ""Dasyatis hastata"" OR ""Raja centroura"""
"""Bathytoshia lata""","""Bathytoshia lata"" OR ""Dasyatis lata"" OR ""Dasyatis thetidis"" OR ""Dasyatis ushiei"" OR ""Trygon lata"""
"""Benthobatis kreffti""","""Benthobatis kreffti"""
"""Benthobatis marcida""","""Benthobatis marcida"""
"""Benthobatis moresbyi""","""Benthobatis moresbyi"""
"""Benthobatis yangi""","""Benthobatis yangi"""
"""Beringraja binoculata""","""Beringraja binoculata"" OR ""Raja cooperi"" OR ""Dipturus binoculata"" OR ""Raja binoculata"""
"""Beringraja cortezensis""","""Beringraja cortezensis"" OR ""Raja cortezensis"""
"""Beringraja inornata""","""Beringraja inornata"" OR ""Raja jordani"" OR ""Raja inornata"" OR ""Beringraja inornata"""
"""Beringraja pulchra""","""Beringraja pulchra"" OR ""Raja pulchra"""
"""Beringraja rhina""","""Beringraja rhina"" OR ""Raia rhina"" OR ""Raja rhina"""
"""Beringraja stellulata""","""Beringraja stellulata"" OR ""Raja stellulata"" OR ""Beringraja stellulata"""
"""Breviraja claramaculata""","""Breviraja claramaculata"""
"""Breviraja colesi""","""Breviraja colesi"""
"""Breviraja mouldi""","""Breviraja mouldi"""
"""Breviraja nigriventralis""","""Breviraja nigriventralis"""
"""Breviraja spinosa""","""Breviraja spinosa"""
"""Brevitrygon heterura""","""Brevitrygon heterura"" OR ""Trygon heterurus"""
"""Brevitrygon imbricata""","""Brevitrygon imbricata"" OR ""Himantura dadong"" OR ""Himantura imbricata"" OR ""Amphotistius imbricatus"" OR ""Dasyatis imbricata"" OR ""Dasybatus imbricatus"" OR ""Raja imbricata"" OR ""Trygon imbricata"" OR ""Leiobatis polylepis"" OR ""Raja obtusa"""
"""Brevitrygon javaensis""","""Brevitrygon javaensis"" OR ""Himantura javaensis"""
"""Brevitrygon manjajiae""","""Brevitrygon manjajiae"""
"""Brevitrygon walga""","""Brevitrygon walga"" OR ""Himantura walga"" OR ""Trygon walga"""
"""Brochiraja aenigma""","""Brochiraja aenigma"""
"""Brochiraja albilabiata""","""Brochiraja albilabiata"""
"""Brochiraja asperula""","""Brochiraja asperula"" OR ""Notoraja asperula"" OR ""Pavoraja asperula"" OR ""Bathyraja asperula"""
"""Brochiraja heuresa""","""Brochiraja heuresa"""
"""Brochiraja leviveneta""","""Brochiraja leviveneta"""
"""Brochiraja microspinifera""","""Brochiraja microspinifera"""
"""Brochiraja spinifera""","""Brochiraja spinifera"" OR ""Notoraja spinifera"" OR ""Pavoraja spinifera"" OR ""Bathyraja spinifera"""
"""Brochiraja vittacauda""","""Brochiraja vittacauda"""
"""Cruriraja andamanica""","""Cruriraja andamanica"" OR ""Raia andamanica"""
"""Cruriraja atlantis""","""Cruriraja atlantis"""
"""Cruriraja cadenati""","""Cruriraja cadenati"""
"""Cruriraja durbanensis""","""Cruriraja durbanensis"" OR ""Raia durbanensis"""
"""Cruriraja hulleyi""","""Cruriraja hulleyi"""
"""Cruriraja parcomaculata""","""Cruriraja parcomaculata"" OR ""Cruriraja triangularis"" OR ""Raia parcomaculata"""
"""Cruriraja poeyi""","""Cruriraja poeyi"""
"""Cruriraja rugosa""","""Cruriraja rugosa"""
"""Dactylobatus armatus""","""Dactylobatus armatus"""
"""Dactylobatus clarkii""","""Dactylobatus clarkii"" OR ""Raja clarkii"""
"""Dasyatis chrysonota""","""Dasyatis chrysonota"" OR ""Trygon chrysonata"""
"""Dasyatis hypostigma""","""Dasyatis hypostigma"" OR ""Dasyatis hipostigma"""
"""Dasyatis marmorata""","""Dasyatis marmorata"" OR ""Dasyatis chrysonota"" OR ""Trygon pastinaca"""
"""Dasyatis pastinaca""","""Dasyatis pastinaca"" OR ""Dasyatis pastinaca"" OR ""Raja pastinaca"" OR ""Trygon pastinaca"" OR ""Pastinaca laevis"" OR ""Pastinaca olivacea"" OR ""Raia pastinaca"" OR ""Dasyatis ujo"" OR ""Trygon vulgaris"""
"""Dasyatis tortonesei""","""Dasyatis tortonesei"""
"""Dentiraja australis""","""Dentiraja australis"" OR ""Raja australis"" OR ""Dipturus australis"""
"""Dentiraja cerva""","""Dentiraja cerva"" OR ""Raja cerva"" OR ""Dipturus cerva"""
"""Dentiraja confusa""","""Dentiraja confusa"" OR ""Dipturus confusus"""
"""Dentiraja endeavouri""","""Dentiraja endeavouri"" OR ""Dipturus endeavouri"""
"""Dentiraja falloarga""","""Dentiraja falloarga"" OR ""Dipturus falloargus"""
"""Dentiraja flindersi""","""Dentiraja flindersi"""
"""Dentiraja healdi""","""Dentiraja healdi"" OR ""Dipturus healdi"""
"""Dentiraja lemprieri""","""Dentiraja lemprieri"" OR ""Raja lemprieri"""
"""Dentiraja oculus""","""Dentiraja oculus"" OR ""Dipturus oculus"" OR ""Dentiraja oculus"""
"""Dentiraja polyommata""","""Dentiraja polyommata"" OR ""Raja polyommata"" OR ""Dipturus polyommata"""
"""Diplobatis colombiensis""","""Diplobatis colombiensis"""
"""Diplobatis guamachensis""","""Diplobatis guamachensis"""
"""Diplobatis ommata""","""Diplobatis ommata"" OR ""Discopyge ommata"""
"""Diplobatis picta""","""Diplobatis picta"" OR ""Diplobatus pictus"" OR ""Diplobatis altenai"""
"""Dipturus acrobelus""","""Dipturus acrobelus"""
"""Dipturus amphispinus""","""Dipturus amphispinus"""
"""Dipturus apricus""","""Dipturus apricus"""
"""Dipturus argentinensis""","""Dipturus argentinensis"" OR ""Zearaja argentinensis"""
"""Dipturus batis""","""Dipturus batis"" OR ""Raja batis"" OR ""Raia flossada"" OR ""Raia gaimardi"" OR ""Propterygia hyposticta"" OR ""Raja macrorynchus"" OR ""Batis vulgaris"" OR ""Raia vulgaris"""
"""Dipturus brevicaudatus""","""Dipturus brevicaudatus"" OR ""Raia brevicaudata"" OR ""Dipturus brevicaudata"""
